dates,oahu0104_0001,oahu0104_0002,satname
2019-10-21 20:44:33+00:00,48.70672464975898,47.459717829353536,L7
2019-10-26 21:19:38+00:00,33.47031204914975,45.16086721319464,S2
2019-10-30 20:37:59+00:00,,,L7
2019-10-31 21:19:35+00:00,34.122556029666605,,S2
2019-11-10 21:19:33+00:00,34.30959367878841,42.80946330576642,S2
2019-11-14 21:00:35+00:00,48.78135324496382,51.91073404382815,L8
2019-11-20 21:19:32+00:00,35.22554336363912,,S2
2019-11-25 21:19:34+00:00,32.372807231824574,39.921987577348425,S2
2019-11-30 21:00:33+00:00,27.9752831962628,29.589441298289504,L8
2019-11-30 21:19:29+00:00,31.137278532955563,35.973124171211026,S2
2019-12-08 20:42:19+00:00,49.12068916469486,53.656409698677386,L7
2019-12-10 21:19:28+00:00,40.49638704824108,46.97615696339853,S2
2019-12-15 21:19:29+00:00,26.021708635243208,,S2
2019-12-16 21:00:32+00:00,28.60075907366422,29.215348959800483,L8
2019-12-17 20:35:41+00:00,44.69213059728959,53.072758463704965,L7
2019-12-30 21:19:29+00:00,30.88925466888731,36.25563535224263,S2
2020-01-01 21:00:27+00:00,29.135017035885213,42.1848099526118,L8
2020-01-02 20:34:51+00:00,,,L7
2020-01-09 21:19:29+00:00,41.78931994750436,,S2
2020-01-18 20:34:03+00:00,,,L7
2020-01-19 21:19:28+00:00,40.11518633013437,49.00003783531682,S2
2020-01-24 21:19:27+00:00,33.64524566352661,34.52068937539562,S2
2020-02-02 21:00:19+00:00,49.03563903432485,51.6977922694587,L8
2020-02-03 20:33:16+00:00,48.91000178995711,50.681468990131,L7
2020-02-03 21:19:26+00:00,35.84604496139953,42.67121310081744,S2
2020-02-23 21:19:29+00:00,33.90446071781024,42.47972085406431,S2
2020-03-04 21:19:30+00:00,31.32162504855728,36.957187959075725,S2
2020-03-06 20:31:35+00:00,,,L7
2020-03-14 21:19:30+00:00,26.06345765127931,23.64397484087508,S2
2020-04-06 20:59:53+00:00,35.60012176136628,33.29492477047088,L8
2020-04-07 20:29:47+00:00,54.08772795068482,51.97085548573647,L7
2020-04-08 21:19:31+00:00,23.904104652433,18.271911445832703,S2
2020-04-13 21:19:33+00:00,11.134668742399132,8.329834009919015,S2
2020-04-18 21:19:29+00:00,15.084268044925986,11.66948438754577,S2
2020-04-22 20:59:47+00:00,40.40143501516519,41.07731793763459,L8
2020-04-30 20:34:37+00:00,,,L7
2020-05-08 20:59:37+00:00,38.43543690491651,44.60230545952316,L8
2020-05-09 20:27:53+00:00,54.14878933833625,52.95371112911544,L7
2020-05-13 21:19:39+00:00,11.657798694469028,8.955827342290686,S2
